"seed","converged","logLik","grad_norm","hessian_ok","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","gamma0","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8"
1,TRUE,-891.714132688931,0.010127199755061,TRUE,1.45231334261208,0.328630415848597,0.10584150856383,0.393434403628452,0.215238663008788,0.351677443113785,0.320475073498316,0.349167120709427,0.335259835768744,-0.487526379236281,-0.0868036677110607,0.295286965128173,0.147488242497902,0.287144242349685,0.130773605535782,0.0591939349465539,0.167916391577368,0.456539020788486
2,TRUE,-891.714132713433,0.0126321004615597,TRUE,1.45230906159198,0.32864126633472,0.105838761936346,0.39341572040119,0.215254611357529,0.351683627368725,0.320462801990173,0.349182644405466,0.335242190518733,-0.487531606118861,-0.0867568680822163,0.295327770204856,0.147434503787848,0.287273408624459,0.130732746918375,0.0591985720820437,0.167994071932213,0.456429999955284
3,TRUE,-891.714133343442,0.0164040790305587,TRUE,1.45234084948866,0.328640728645378,0.105821661845028,0.393421192712348,0.215260052880221,0.351653633027874,0.320502698544505,0.349162007463223,0.335242705722631,-0.48735903948425,-0.0868136559897356,0.295210340138449,0.147506086576777,0.287137777084955,0.130778867881291,0.059253679181934,0.167851930698133,0.456457872566345
4,TRUE,-891.714134176252,0.0408251957578851,TRUE,1.45234422473318,0.328606101526898,0.105810474153339,0.393389050585459,0.215301070035119,0.351680491972028,0.320511047320497,0.34921152778258,0.335242088921392,-0.487376564550388,-0.0868098549919375,0.295217725314288,0.147413471856918,0.287203984524646,0.130728359231816,0.0591766658208213,0.167955304862306,0.456416633036887
5,TRUE,-891.714131862965,0.0118352140191091,TRUE,1.45234783813258,0.328641426163737,0.105852305460384,0.393401978603235,0.21527639267883,0.351663392059503,0.32046021152937,0.349157887586581,0.33523719730015,-0.487413154494173,-0.0868514249618698,0.295322902668,0.147366693475287,0.287286774518153,0.130615882110995,0.0592425769811626,0.167920999334138,0.456495512316488
6,TRUE,-891.71413208626,0.0096502507851717,TRUE,1.45232173863414,0.328628350596488,0.105833840093857,0.39342589444763,0.21528272765238,0.351643985186878,0.320493298401406,0.349162008125568,0.335220447757664,-0.487441881222233,-0.0868666935052277,0.295347221437326,0.147386209132822,0.287358150250748,0.130562996599035,0.0592840285906964,0.167962126794285,0.456439148532985
7,TRUE,-891.714132839397,0.0166497767824289,TRUE,1.4523260291439,0.328613888119143,0.105830336904603,0.393406846049455,0.215254583332659,0.351635917373887,0.320466498988974,0.349179321257076,0.335233571753842,-0.487416634913843,-0.0868529873551229,0.295320725108427,0.147299037439996,0.287290174522853,0.130521186845044,0.0592511307242103,0.168067102617921,0.45641189175038
8,TRUE,-891.714132467517,0.0115199840042676,TRUE,1.45233087694056,0.328632210525144,0.105833001083157,0.393422996620383,0.215252278872063,0.351671173292209,0.320469905326418,0.349168727026678,0.335247728267401,-0.487380899166296,-0.0869279783772165,0.295375176999682,0.14728633820646,0.287316356956705,0.130603402299455,0.0591896217515126,0.167940468950628,0.456427031308993
9,TRUE,-891.714133628463,0.0170595291320254,TRUE,1.45234359114276,0.328625622244821,0.105846543279948,0.393417508840297,0.215224615146701,0.35168211218712,0.320459424722096,0.349182806040424,0.335265201645929,-0.487415402747887,-0.0868240032866343,0.295298973424552,0.147391885842645,0.287059840888869,0.130814153590793,0.0591379707960654,0.167946389722876,0.456503114927557
10,TRUE,-891.71413261739,0.0101429050506413,TRUE,1.45232649433687,0.328616915787633,0.105843024416636,0.393435394244274,0.215239169660929,0.351678373716638,0.320469443761269,0.349156556703183,0.335263078312264,-0.487487308670519,-0.0868856265779701,0.295292166455108,0.147483570926079,0.287176625283906,0.130740978948922,0.0592107440519918,0.167845016082979,0.456585248731695
